"","id","YEAR","CAUSE","NUM_U"
"369","CA",2013,"U",5860
"370","CO",2013,"U",695
"371","CT",2013,"U",1351
"372","DC",2013,"U",55
"373","DE",2013,"U",154
"374","FL",2013,"U",3099
"375","GA",2013,"U",3744
"376","HI",2013,"U",358
"377","IA",2013,"U",466
"378","ID",2013,"U",471
"379","IL",2013,"U",2545
"380","IN",2013,"U",1228
"381","KS",2013,"U",865
"382","KY",2013,"U",1420
"383","LA",2013,"U",2143
"384","MA",2013,"U",2357
"385","MD",2013,"U",998
"386","ME",2013,"U",297
"387","MI",2013,"U",1205
"388","MN",2013,"U",695
"389","MO",2013,"U",1514
"390","MS",2013,"U",1189
"391","MT",2013,"U",210
"392","NC",2013,"U",2497
"393","ND",2013,"U",107
"394","NE",2013,"U",214
"395","NH",2013,"U",401
"396","NJ",2013,"U",1440
"397","NM",2013,"U",697
"398","NV",2013,"U",493
"399","NY",2013,"U",1074
"400","OH",2013,"U",2593
"401","OK",2013,"U",2113
"402","OR",2013,"U",942
"403","PA",2013,"U",1464
"404","RI",2013,"U",143
"405","SC",2013,"U",2448
"406","SD",2013,"U",63
"407","TN",2013,"U",1481
"408","TX",2013,"U",7087
"409","UT",2013,"U",404
"410","VA",2013,"U",1362
"411","VT",2013,"U",94
"412","WA",2013,"U",1175
"413","WI",2013,"U",643
"414","WV",2013,"U",490
"415","AK",2014,"U",227
"416","AL",2014,"U",1424
"417","AR",2014,"U",1842
"418","AZ",2014,"U",1001
"419","CA",2014,"U",5924
"420","CO",2014,"U",672
"421","CT",2014,"U",1156
"422","DC",2014,"U",50
"423","DE",2014,"U",186
"424","FL",2014,"U",2883
"425","GA",2014,"U",4362
"426","HI",2014,"U",295
"427","IA",2014,"U",516
"428","ID",2014,"U",512
"429","IL",2014,"U",2739
"430","IN",2014,"U",341
"431","KS",2014,"U",1236
"432","KY",2014,"U",1809
"433","LA",2014,"U",2366
"434","MA",2014,"U",2258
"435","MD",2014,"U",842
"436","ME",2014,"U",361
"437","MI",2014,"U",1220
"438","MN",2014,"U",615
"439","MO",2014,"U",1967
"440","MS",2014,"U",1361
"441","MT",2014,"U",187
"442","NC",2014,"U",2877
"443","ND",2014,"U",90
"444","NE",2014,"U",237
"445","NH",2014,"U",378
"446","NJ",2014,"U",1755
"447","NM",2014,"U",663
"448","NV",2014,"U",570
"449","NY",2014,"U",1118
"450","OH",2014,"U",2994
"451","OK",2014,"U",2306
"452","OR",2014,"U",1029
"453","PA",2014,"U",1841
"454","RI",2014,"U",184
"455","SC",2014,"U",3028
"456","SD",2014,"U",89
"457","TN",2014,"U",1750
"458","TX",2014,"U",7010
"459","UT",2014,"U",339
"460","VA",2014,"U",1362
"461","VT",2014,"U",61
"462","WA",2014,"U",1420
"463","WI",2014,"U",666
"464","WV",2014,"U",469
"465","WY",2014,"U",84
"466","AK",2015,"U",203
"467","AL",2015,"U",1258
"468","AR",2015,"U",1692
"469","AZ",2015,"U",926
"470","CA",2015,"U",6082
"471","CO",2015,"U",808
"472","CT",2015,"U",1432
"473","DC",2015,"U",67
"474","DE",2015,"U",150
"475","FL",2015,"U",2622
"476","GA",2015,"U",4049
"477","HI",2015,"U",383
"478","IA",2015,"U",328
"479","ID",2015,"U",456
"480","IL",2015,"U",2695
"481","IN",2015,"U",920
"482","KS",2015,"U",1108
"483","KY",2015,"U",1555
"484","LA",2015,"U",2233
"485","MA",2015,"U",2967
"486","MD",2015,"U",866
"487","ME",2015,"U",395
"488","MI",2015,"U",1490
"489","MN",2015,"U",592
"490","MO",2015,"U",1723
"491","MS",2015,"U",1255
"492","MT",2015,"U",210
"493","NC",2015,"U",2970
"494","ND",2015,"U",136
"495","NE",2015,"U",224
"496","NH",2015,"U",578
"497","NJ",2015,"U",1911
"498","NM",2015,"U",501
"499","NV",2015,"U",635
"500","NY",2015,"U",1036
"501","OH",2015,"U",3186
"502","OK",2015,"U",1856
"503","OR",2015,"U",1346
"504","PA",2015,"U",2411
"505","RI",2015,"U",153
"506","SC",2015,"U",2472
"507","SD",2015,"U",103
"508","TN",2015,"U",1560
"509","TX",2015,"U",6243
"510","UT",2015,"U",397
"511","VA",2015,"U",1180
"512","VT",2015,"U",93
"513","WA",2015,"U",2063
"514","WI",2015,"U",808
"515","WV",2015,"U",470
"516","WY",2015,"U",83
